EmailText,Type2,Type3,Type4
I want a refund for my subscription,Complaint,Payment,Subscription retained
I want to update my billing details,Suggestion,Payment,Subscription retained
My payment did not go through,Complaint,Payment,Subscription retained
I want to update my billing details,Suggestion,Payment,Subscription cancellation
My payment did not go through,Suggestion,Feedback,Subscription retained
I want a refund for my subscription,Complaint,Payment,Subscription cancellation
I want to upgrade my subscription plan,Other,Payment,Subscription retained
My account was charged incorrectly,Suggestion,Feedback,Subscription retained
Please assist me with subscription cancellation,Suggestion,Feedback,Subscription retained
Can you help me with my account issue,Other,Feedback,Subscription retained
My payment did not go through,Complaint,Payment,Subscription retained
Can you help me with my account issue,Suggestion,Feedback,Subscription retained
Can you help me with my account issue,Suggestion,Refund,Subscription retained
Please cancel my subscription immediately,Other,Refund,Subscription cancellation
I want to provide feedback about your service,Suggestion,Feedback,Subscription retained
I want a refund for my subscription,Complaint,Refund,Subscription retained
Please assist me with subscription cancellation,Suggestion,Payment,Subscription retained
I want to update my billing details,Suggestion,Feedback,Subscription retained
My payment did not go through,Other,Feedback,Subscription retained
Please assist me with subscription cancellation,Other,Refund,Subscription cancellation
I want to upgrade my subscription plan,Other,Refund,Subscription cancellation
I want a refund for my subscription,Other,Payment,Subscription retained
I want a refund for my subscription,Suggestion,Feedback,Subscription retained
I want to update my billing details,Other,Payment,Subscription retained
I want to provide feedback about your service,Suggestion,Payment,Subscription retained
I want to upgrade my subscription plan,Complaint,Payment,Subscription cancellation
Please assist me with subscription cancellation,Suggestion,Refund,Subscription cancellation
I want to upgrade my subscription plan,Other,Payment,Subscription retained
I want to upgrade my subscription plan,Suggestion,Feedback,Subscription cancellation
I need help with my payment,Suggestion,Refund,Subscription cancellation
I want a refund for my subscription,Suggestion,Payment,Subscription retained
I want a refund for my subscription,Complaint,Payment,Subscription cancellation
I want to provide feedback about your service,Suggestion,Payment,Subscription retained
I want a refund for my subscription,Other,Payment,Subscription cancellation
I want a refund for my subscription,Other,Feedback,Subscription retained
My payment did not go through,Other,Feedback,Subscription retained
I want to provide feedback about your service,Complaint,Feedback,Subscription cancellation
I want to provide feedback about your service,Suggestion,Feedback,Subscription retained
I want a refund for my subscription,Suggestion,Feedback,Subscription retained
Please assist me with subscription cancellation,Other,Payment,Subscription cancellation
I want to upgrade my subscription plan,Suggestion,Feedback,Subscription retained
I want a refund for my subscription,Other,Payment,Subscription retained
Please assist me with subscription cancellation,Suggestion,Refund,Subscription retained
I want to provide feedback about your service,Complaint,Feedback,Subscription cancellation
Can you help me with my account issue,Other,Payment,Subscription retained
I want to update my billing details,Complaint,Feedback,Subscription cancellation
Please assist me with subscription cancellation,Suggestion,Payment,Subscription retained
I want to upgrade my subscription plan,Suggestion,Payment,Subscription retained
I want to update my billing details,Complaint,Payment,Subscription cancellation
Please cancel my subscription immediately,Suggestion,Feedback,Subscription cancellation
I need help with my payment,Complaint,Refund,Subscription retained
My payment did not go through,Other,Feedback,Subscription retained
Please assist me with subscription cancellation,Suggestion,Payment,Subscription cancellation
My payment did not go through,Suggestion,Feedback,Subscription cancellation
I want to upgrade my subscription plan,Other,Payment,Subscription retained
I want to provide feedback about your service,Other,Refund,Subscription cancellation
I want to provide feedback about your service,Complaint,Payment,Subscription retained
I want to upgrade my subscription plan,Complaint,Feedback,Subscription cancellation
I want a refund for my subscription,Other,Refund,Subscription cancellation
Please assist me with subscription cancellation,Complaint,Refund,Subscription cancellation
Can you help me with my account issue,Complaint,Refund,Subscription retained
Can you help me with my account issue,Suggestion,Refund,Subscription cancellation
I want to upgrade my subscription plan,Complaint,Refund,Subscription retained
Please cancel my subscription immediately,Other,Feedback,Subscription retained
Please assist me with subscription cancellation,Suggestion,Refund,Subscription retained
I want to provide feedback about your service,Suggestion,Payment,Subscription retained
I want to update my billing details,Complaint,Payment,Subscription retained
My account was charged incorrectly,Complaint,Feedback,Subscription retained
I need help with my payment,Other,Payment,Subscription retained
Please cancel my subscription immediately,Suggestion,Feedback,Subscription cancellation
My payment did not go through,Complaint,Refund,Subscription cancellation
I want to update my billing details,Complaint,Payment,Subscription cancellation
Please cancel my subscription immediately,Other,Payment,Subscription retained
I want to provide feedback about your service,Complaint,Payment,Subscription retained
Please cancel my subscription immediately,Complaint,Feedback,Subscription retained
I want a refund for my subscription,Complaint,Feedback,Subscription cancellation
Please cancel my subscription immediately,Suggestion,Payment,Subscription cancellation
I want a refund for my subscription,Suggestion,Feedback,Subscription retained
Can you help me with my account issue,Suggestion,Feedback,Subscription retained
I want to update my billing details,Complaint,Refund,Subscription retained
Please assist me with subscription cancellation,Suggestion,Refund,Subscription cancellation
I want to provide feedback about your service,Suggestion,Payment,Subscription retained
I want to update my billing details,Complaint,Payment,Subscription cancellation
Please assist me with subscription cancellation,Other,Feedback,Subscription cancellation
I need help with my payment,Other,Payment,Subscription cancellation
I want a refund for my subscription,Other,Refund,Subscription cancellation
I want to upgrade my subscription plan,Complaint,Payment,Subscription retained
I want to upgrade my subscription plan,Other,Payment,Subscription cancellation
I want to update my billing details,Complaint,Payment,Subscription retained
I want to upgrade my subscription plan,Suggestion,Feedback,Subscription retained
Can you help me with my account issue,Complaint,Payment,Subscription cancellation
I want to update my billing details,Suggestion,Feedback,Subscription cancellation
I want to update my billing details,Other,Payment,Subscription cancellation
I need help with my payment,Complaint,Payment,Subscription retained
Please cancel my subscription immediately,Complaint,Payment,Subscription cancellation
I want a refund for my subscription,Suggestion,Payment,Subscription retained
I want to upgrade my subscription plan,Other,Payment,Subscription cancellation
I want to upgrade my subscription plan,Suggestion,Feedback,Subscription retained
My payment did not go through,Complaint,Payment,Subscription cancellation
I want to upgrade my subscription plan,Other,Payment,Subscription cancellation
